Ente;Confinanti;Data inizio;Positivi 2020/03/25;Data massimo positivi durante chiusura;Massimo positivi durante chiusura;Data fine chiusura;Positivi fine chiusura;Data inizio zona rossa;Positivi inizio zona rossa;Data massimo positivi seconda ondata;Massimo positivi seconda ondata;Data inizio zona arancione;Positivi inizio zona arancione;Data inizio zona gialla;Positivi inizio zona gialla;Data ultimo giorno;Positivi 2021/01/16;Data massimo positivi;Massimo positivi;Data massima variazione;Massima variazione;Data inizio;Positivi per 1000 abitanti 2020/03/25;Data massimo positivi per 1000 abitanti durante chiusura;Massimo positivi per 1000 abitanti durante chiusura;Data fine chiusura;Positivi per 1000 abitanti fine chiusura;Data inizio zona rossa;Positivi per 1000 abitanti inizio zona rossa;Data massimo positivi per 1000 abitanti seconda ondata;Massimo positivi per 1000 abitanti seconda ondata;Data inizio zona arancione;Positivi per 1000 abitanti inizio zona arancione;Data inizio zona gialla;Positivi per 1000 abitanti inizio zona gialla;Data ultimo giorno;Positivi per 1000 abitanti 2021/01/16;Data massimo positivi per 1000 abitanti;Massimo positivi per 1000 abitanti;Data massima variazione per 1000 abitanti;Massima variazione per 1000 abitanti;Tipo
Ostana;Bagnolo Piemonte,Oncino,Paesana,Crissolo,Barge;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/25;2;2020/11/27;2;2020/12/12;1;2021/01/16;0;2020/11/25;2;2020/11/24;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/25;23.53;2020/11/27;23.53;2020/12/12;11.76;2021/01/16;0.0;2020/11/25;23.53;2020/11/25;11.77;COM
Ottiglio;Sala Monferrato,Grazzano Badoglio,Frassinello Monferrato,Moncalvo,Olivola,Cereseto,Cella Monte,Casorzo;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;2;2020/11/13;7;2020/11/27;1;2020/12/12;2;2021/01/16;3;2020/11/13;7;2020/11/13;4;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;3.26;2020/11/13;11.4;2020/11/27;1.63;2020/12/12;3.26;2021/01/16;4.89;2020/11/13;11.4;2020/11/13;6.51;COM
Oulx;Pragelato,Sauze d'Oulx,Bardonecchia,Exilles,Sestriere,Salbertrand,Cesana Torinese;2020/03/25;4;2020/04/03;9;2020/05/18;0;2020/11/03;2;2020/11/26;55;2020/11/27;49;2020/12/12;21;2021/01/16;2;2020/11/26;55;2020/11/17;8;2020/03/25;1.19;2020/04/03;2.67;2020/05/18;0.0;2020/11/03;0.59;2020/11/26;16.32;2020/11/27;14.54;2020/12/12;6.23;2021/01/16;0.59;2020/11/26;16.32;2020/11/17;2.38;COM
Ovada;Trisobbio,Molare,Tagliolo Monferrato,Cremolino,Rocca Grimalda,Belforte Monferrato,Silvano d'Orba;2020/03/25;19;2020/04/14;91;2020/05/18;49;2020/11/03;82;2020/11/13;103;2020/11/27;45;2020/12/12;38;2021/01/16;19;2020/11/13;103;2020/04/05;26;2020/03/25;1.68;2020/04/14;8.05;2020/05/18;4.34;2020/11/03;7.26;2020/11/13;9.12;2020/11/27;3.98;2020/12/12;3.36;2021/01/16;1.68;2020/11/13;9.12;2020/04/05;2.3;COM
Oviglio;Masio,Carentino,Bergamasco,Felizzano,Borgoratto Alessandrino,Solero,Castellazzo Bormida,Incisa Scapaccino,Alessandria;2020/03/25;1;2020/04/14;3;2020/05/18;3;2020/11/03;8;2020/11/18;28;2020/11/27;10;2020/12/12;8;2021/01/16;1;2020/11/18;28;2020/11/15;10;2020/03/25;0.81;2020/04/14;2.43;2020/05/18;2.43;2020/11/03;6.48;2020/11/18;22.69;2020/11/27;8.1;2020/12/12;6.48;2021/01/16;0.81;2020/11/18;22.69;2020/11/15;8.11;COM
Ozegna;Bairo,Rivarolo Canavese,Castellamonte,San Giorgio Canavese,Ciconio,AgliÃ¨;2020/03/25;4;2020/03/31;5;2020/05/18;1;2020/11/03;3;2020/11/17;22;2020/11/27;13;2020/12/12;4;2021/01/16;4;2020/11/17;22;2020/11/04;3;2020/03/25;3.26;2020/03/31;4.07;2020/05/18;0.81;2020/11/03;2.44;2020/11/17;17.93;2020/11/27;10.59;2020/12/12;3.26;2021/01/16;3.26;2020/11/17;17.93;2020/11/04;2.45;COM
Ozzano Monferrato;Rosignano Monferrato,San Giorgio Monferrato,Pontestura,Sala Monferrato,Casale Monferrato,Treville,Cereseto,Cella Monte;2020/03/25;4;2020/04/05;8;2020/05/18;0;2020/11/03;6;2020/11/23;12;2020/11/27;9;2020/12/12;6;2021/01/16;5;2020/11/23;12;2020/11/15;3;2020/03/25;2.85;2020/04/05;5.71;2020/05/18;0.0;2020/11/03;4.28;2020/11/23;8.56;2020/11/27;6.42;2020/12/12;4.28;2021/01/16;3.57;2020/11/23;8.56;2020/11/15;2.14;COM
Paderna;Carezzano,Costa Vescovato,Spineto Scrivia,Villaromagnano,Tortona;2020/03/25;1;2020/04/11;3;2020/05/18;1;2020/11/03;2;2020/11/10;3;2020/11/27;0;2020/12/12;0;2021/01/16;1;2020/04/11;3;2020/04/02;1;2020/03/25;5.29;2020/04/11;15.87;2020/05/18;5.29;2020/11/03;10.58;2020/11/10;15.87;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;5.29;2020/04/11;15.87;2020/04/02;5.29;COM
Paesana;Oncino,Sanfront,Sampeyre,Ostana,Barge;2020/03/25;1;2020/04/13;10;2020/05/18;2;2020/11/03;15;2020/12/01;61;2020/11/27;56;2020/12/12;44;2021/01/16;8;2020/12/01;61;2020/11/12;6;2020/03/25;0.37;2020/04/13;3.69;2020/05/18;0.74;2020/11/03;5.53;2020/12/01;22.48;2020/11/27;20.64;2020/12/12;16.22;2021/01/16;2.95;2020/12/01;22.48;2020/11/12;2.22;COM
Pagno;Revello,Venasca,Verzuolo,Brondello,Saluzzo,Manta,Piasco;2020/03/25;0;2020/03/29;1;2020/05/18;1;2020/11/03;5;2020/11/08;9;2020/11/27;9;2020/12/12;1;2021/01/16;0;2020/11/08;9;2020/10/29;4;2020/03/25;0.0;2020/03/29;1.79;2020/05/18;1.79;2020/11/03;8.93;2020/11/08;16.07;2020/11/27;16.07;2020/12/12;1.79;2021/01/16;0.0;2020/11/08;16.07;2020/10/29;7.14;COM
Palazzo Canavese;Bollengo,Magnano,Albiano d'Ivrea,Piverone,Azeglio;2020/03/25;2;2020/04/05;3;2020/05/18;2;2020/11/03;7;2020/11/05;8;2020/11/27;5;2020/12/12;2;2021/01/16;4;2020/11/05;8;2020/10/28;2;2020/03/25;2.39;2020/04/05;3.58;2020/05/18;2.39;2020/11/03;8.36;2020/11/05;9.56;2020/11/27;5.97;2020/12/12;2.39;2021/01/16;4.78;2020/11/05;9.56;2020/10/28;2.39;COM
Palazzolo Vercellese;Camino,Gabiano,Fontanetto Po,Trino;2020/03/25;0;2020/04/13;1;2020/05/18;0;2020/11/03;3;2020/11/27;7;2020/11/27;7;2020/12/12;6;2021/01/16;1;2020/08/31;7;2020/08/30;3;2020/03/25;0.0;2020/04/13;0.84;2020/05/18;0.0;2020/11/03;2.53;2020/11/27;5.9;2020/11/27;5.9;2020/12/12;5.05;2021/01/16;0.84;2020/08/31;5.9;2020/08/30;2.53;COM
Pallanzeno;Vogogna,Calasca-Castiglione,Piedimulera,Beura-Cardezza,Borgomezzavalle,Villadossola;2020/03/25;0;2020/04/08;3;2020/05/18;0;2020/11/03;4;2020/11/22;22;2020/11/27;17;2020/12/12;8;2021/01/16;3;2020/11/22;22;2020/11/16;6;2020/03/25;0.0;2020/04/08;2.61;2020/05/18;0.0;2020/11/03;3.48;2020/11/22;19.16;2020/11/27;14.81;2020/12/12;6.97;2021/01/16;2.61;2020/11/22;19.16;2020/11/16;5.23;COM
Pamparato;Roburent,Monasterolo Casotto,Garessio,Viola,Torre MondovÃ¬;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;1;2020/11/04;1;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/10/24;2;2020/10/09;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;3.39;2020/11/04;3.39;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/10/24;6.78;2020/10/09;3.39;COM
Pancalieri;Lombriasco,Casalgrasso,Vigone,Osasio,Virle Piemonte,Faule,Polonghera,Villafranca Piemonte;2020/03/25;3;2020/04/28;5;2020/05/18;1;2020/11/03;14;2020/11/30;94;2020/11/27;78;2020/12/12;43;2021/01/16;3;2020/11/30;94;2020/11/20;34;2020/03/25;1.43;2020/04/28;2.39;2020/05/18;0.48;2020/11/03;6.7;2020/11/30;44.95;2020/11/27;37.3;2020/12/12;20.56;2021/01/16;1.43;2020/11/30;44.95;2020/11/20;16.26;COM
Parella;Val di Chy,Castellamonte,Quagliuzzo,Colleretto Giacosa,LoranzÃ¨,San Martino Canavese;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;5;2020/11/11;9;2020/11/27;3;2020/12/12;5;2021/01/16;0;2020/11/11;9;2020/11/25;3;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;11.63;2020/11/11;20.93;2020/11/27;6.98;2020/12/12;11.63;2021/01/16;0.0;2020/11/11;20.93;2020/11/25;6.98;COM
Pareto;Cartosio,Ponzone,Spigno Monferrato,Malvicino;2020/03/25;0;2020/04/24;2;2020/05/18;1;2020/11/03;6;2020/11/16;11;2020/11/27;8;2020/12/12;1;2021/01/16;0;2020/11/16;11;2020/11/02;6;2020/03/25;0.0;2020/04/24;3.75;2020/05/18;1.88;2020/11/03;11.26;2020/11/16;20.64;2020/11/27;15.01;2020/12/12;1.88;2021/01/16;0.0;2020/11/16;20.64;2020/11/02;11.26;COM
Parodi Ligure;Montaldeo,Bosio,San Cristoforo,Mornese,Gavi,Castelletto d'Orba;2020/03/25;1;2020/03/28;2;2020/05/18;0;2020/11/03;0;2021/01/16;4;2020/11/27;2;2020/12/12;0;2021/01/16;4;2021/01/16;4;2021/01/16;3;2020/03/25;1.54;2020/03/28;3.08;2020/05/18;0.0;2020/11/03;0.0;2021/01/16;6.15;2020/11/27;3.08;2020/12/12;0.0;2021/01/16;6.15;2021/01/16;6.15;2021/01/16;4.61;COM
Paroldo;Roascio,Sale San Giovanni,Torresina,Ceva,Mombarcaro,Murazzano;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;1;2020/11/26;5;2020/11/27;4;2020/12/12;2;2021/01/16;0;2020/11/26;5;2020/10/23;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;4.83;2020/11/26;24.15;2020/11/27;19.32;2020/12/12;9.66;2021/01/16;0.0;2020/11/26;24.15;2020/10/23;4.83;COM
Paruzzaro;Oleggio Castello,Invorio,Arona,Gattico-Veruno;2020/03/25;0;2020/04/11;2;2020/05/18;1;2020/11/03;6;2020/11/19;48;2020/11/27;24;2020/12/12;8;2021/01/16;1;2020/11/19;48;2020/11/16;24;2020/03/25;0.0;2020/04/11;0.92;2020/05/18;0.46;2020/11/03;2.75;2020/11/19;21.97;2020/11/27;10.98;2020/12/12;3.66;2021/01/16;0.46;2020/11/19;21.97;2020/11/16;10.99;COM
Passerano Marmorito;Pino d'Asti,PiovÃ  Massaia,Albugnano,Cocconato,Castelnuovo Don Bosco,Aramengo,Capriglio,Cerreto d'Asti;2020/03/25;1;2020/05/04;6;2020/05/18;5;2020/11/03;3;2020/11/18;10;2020/11/27;4;2020/12/12;2;2021/01/16;2;2020/11/18;10;2020/11/16;2;2020/03/25;2.31;2020/05/04;13.86;2020/05/18;11.55;2020/11/03;6.93;2020/11/18;23.09;2020/11/27;9.24;2020/12/12;4.62;2021/01/16;4.62;2020/11/18;23.09;2020/11/16;4.62;COM
Pasturana;Basaluzzo,Francavilla Bisio,Novi Ligure,Tassarolo;2020/03/25;0;2020/03/29;2;2020/05/18;0;2020/11/03;8;2020/11/17;15;2020/11/27;12;2020/12/12;7;2021/01/16;4;2020/11/17;15;2020/10/19;2;2020/03/25;0.0;2020/03/29;1.57;2020/05/18;0.0;2020/11/03;6.27;2020/11/17;11.76;2020/11/27;9.4;2020/12/12;5.49;2021/01/16;3.13;2020/11/17;11.76;2020/10/19;1.57;COM
Pavarolo;Castiglione Torinese,Gassino Torinese,Baldissero Torinese,Montaldo Torinese,Chieri;2020/03/25;0;2020/04/03;4;2020/05/18;0;2020/11/03;10;2020/11/24;20;2020/11/27;16;2020/12/12;7;2021/01/16;1;2020/11/24;20;2020/10/25;3;2020/03/25;0.0;2020/04/03;3.52;2020/05/18;0.0;2020/11/03;8.81;2020/11/24;17.62;2020/11/27;14.1;2020/12/12;6.17;2021/01/16;0.88;2020/11/24;17.62;2020/11/10;2.65;COM
Pavone Canavese;Banchette,Samone,Romano Canavese,Colleretto Giacosa,San Martino Canavese,Perosa Canavese,Ivrea;2020/03/25;4;2020/04/14;15;2020/05/18;4;2020/11/03;28;2020/11/13;60;2020/11/27;44;2020/12/12;15;2021/01/16;10;2020/11/13;60;2020/11/06;8;2020/03/25;1.04;2020/04/14;3.9;2020/05/18;1.04;2020/11/03;7.28;2020/11/13;15.59;2020/11/27;11.43;2020/12/12;3.9;2021/01/16;2.6;2020/11/13;15.59;2020/11/06;2.07;COM
Pecetto Torinese;Torino,Pino Torinese,Moncalieri,Trofarello,Cambiano,Chieri;2020/03/25;10;2020/04/09;19;2020/05/18;4;2020/11/03;34;2020/11/15;67;2020/11/27;39;2020/12/12;6;2021/01/16;10;2020/11/15;67;2020/11/06;13;2020/03/25;2.47;2020/04/09;4.7;2020/05/18;0.99;2020/11/03;8.41;2020/11/15;16.56;2020/11/27;9.64;2020/12/12;1.48;2021/01/16;2.47;2020/11/15;16.56;2020/11/06;3.21;COM
Pecetto di Valenza;Pietra Marazzi,Montecastello,Valenza,Bassignana,Alessandria;2020/03/25;2;2020/05/08;11;2020/05/18;5;2020/11/03;3;2020/11/19;9;2020/11/27;6;2020/12/12;3;2021/01/16;0;2020/05/08;11;2020/04/22;4;2020/03/25;1.66;2020/05/08;9.14;2020/05/18;4.15;2020/11/03;2.49;2020/11/19;7.48;2020/11/27;4.98;2020/12/12;2.49;2021/01/16;0.0;2020/05/08;9.14;2020/04/22;3.32;COM
Pella;Miasino,Madonna del Sasso,Orta San Giulio,Pettenasco,Nonio,San Maurizio d'Opaglio,Cesara;2020/03/25;0;2020/04/16;4;2020/05/18;1;2020/11/03;5;2020/11/19;9;2020/11/27;6;2020/12/12;1;2021/01/16;2;2020/11/19;9;2020/03/28;2;2020/03/25;0.0;2020/04/16;4.2;2020/05/18;1.05;2020/11/03;5.25;2020/11/19;9.45;2020/11/27;6.3;2020/12/12;1.05;2021/01/16;2.1;2020/11/19;9.45;2020/03/28;2.1;COM
Penango;Grazzano Badoglio,Calliano,Moncalvo,Grana,Alfiano Natta;2020/03/25;1;2020/04/25;3;2020/05/18;3;2020/11/03;2;2020/11/14;4;2020/11/27;2;2020/12/12;0;2021/01/16;3;2020/11/14;4;2020/04/18;1;2020/03/25;2.14;2020/04/25;6.42;2020/05/18;6.42;2020/11/03;4.28;2020/11/14;8.57;2020/11/27;4.28;2020/12/12;0.0;2021/01/16;6.42;2020/11/14;8.57;2020/11/14;2.15;COM
Perletto;Olmo Gentile,Castino,Cortemilia,Vesime,San Giorgio Scarampi,Serole;2020/03/25;0;2020/04/09;2;2020/05/18;0;2020/11/03;0;2020/11/25;5;2020/11/27;4;2020/12/12;0;2021/01/16;3;2020/11/25;5;2020/11/25;3;2020/03/25;0.0;2020/04/09;7.43;2020/05/18;0.0;2020/11/03;0.0;2020/11/25;18.59;2020/11/27;14.87;2020/12/12;0.0;2021/01/16;11.15;2020/11/25;18.59;2020/11/25;11.16;COM
Perlo;Bagnasco,Nucetto,Priero,Ceva;2020/03/25;1;2020/03/25;1;2020/05/18;0;2020/11/03;0;2020/11/26;3;2020/11/27;3;2020/12/12;2;2021/01/16;0;2020/11/26;3;2020/12/19;3;2020/03/25;8.77;2020/03/25;8.77;2020/05/18;0.0;2020/11/03;0.0;2020/11/26;26.32;2020/11/27;26.32;2020/12/12;17.54;2021/01/16;0.0;2020/11/26;26.32;2020/12/19;26.32;COM
Perosa Argentina;Perrero,Coazze,Roure,Inverso Pinasca,Pinasca,Giaveno,Pomaretto;2020/03/25;3;2020/05/01;20;2020/05/18;9;2020/11/03;9;2020/11/20;45;2020/11/27;40;2020/12/12;31;2021/01/16;6;2020/11/20;45;2020/04/24;5;2020/03/25;0.95;2020/05/01;6.31;2020/05/18;2.84;2020/11/03;2.84;2020/11/20;14.19;2020/11/27;12.61;2020/12/12;9.78;2021/01/16;1.89;2020/11/20;14.19;2020/04/24;1.58;COM
Perosa Canavese;Scarmagno,Romano Canavese,Colleretto Giacosa,Pavone Canavese,San Martino Canavese;2020/03/25;0;2020/05/13;2;2020/05/18;1;2020/11/03;5;2020/11/12;10;2020/11/27;5;2020/12/12;0;2021/01/16;0;2020/11/12;10;2020/10/31;3;2020/03/25;0.0;2020/05/13;3.85;2020/05/18;1.92;2020/11/03;9.62;2020/11/12;19.23;2020/11/27;9.62;2020/12/12;0.0;2021/01/16;0.0;2020/11/12;19.23;2020/10/31;5.77;COM
Perrero;Pramollo,Perosa Argentina,Prali,Roure,Massello,Angrogna,Salza di Pinerolo,Villar Pellice,Pomaretto;2020/03/25;1;2020/04/17;3;2020/05/18;0;2020/11/03;0;2020/11/19;9;2020/11/27;7;2020/12/12;1;2021/01/16;1;2020/11/19;9;2020/11/06;2;2020/03/25;1.55;2020/04/17;4.65;2020/05/18;0.0;2020/11/03;0.0;2020/11/19;13.95;2020/11/27;10.85;2020/12/12;1.55;2021/01/16;1.55;2020/11/19;13.95;2020/11/06;3.1;COM
Pertengo;Asigliano Vercellese,Stroppiana,Costanzana,Rive;2020/03/25;1;2020/04/13;2;2020/05/18;1;2020/11/03;1;2020/12/13;3;2020/11/27;0;2020/12/12;2;2021/01/16;0;2020/12/13;3;2020/08/21;2;2020/03/25;3.38;2020/04/13;6.76;2020/05/18;3.38;2020/11/03;3.38;2020/12/13;10.14;2020/11/27;0.0;2020/12/12;6.76;2021/01/16;0.0;2020/12/13;10.14;2020/08/21;6.76;COM
Pertusio;Prascorsano,Valperga,Rivara,San Ponso;2020/03/25;0;2020/04/26;1;2020/05/18;0;2020/11/03;7;2020/11/20;16;2020/11/27;14;2020/12/12;3;2021/01/16;3;2020/11/20;16;2020/10/28;3;2020/03/25;0.0;2020/04/26;1.32;2020/05/18;0.0;2020/11/03;9.23;2020/11/20;21.11;2020/11/27;18.47;2020/12/12;3.96;2021/01/16;3.96;2020/11/20;21.11;2020/10/28;3.96;COM
Pessinetto;Mezzenile,Monastero di Lanzo,Germagnano,Ceres,Traves,Lanzo Torinese;2020/03/25;0;2020/05/01;4;2020/05/18;1;2020/11/03;0;2020/12/02;6;2020/11/27;4;2020/12/12;2;2021/01/16;1;2020/12/02;6;2020/03/27;1;2020/03/25;0.0;2020/05/01;6.48;2020/05/18;1.62;2020/11/03;0.0;2020/12/02;9.72;2020/11/27;6.48;2020/12/12;3.24;2021/01/16;1.62;2020/12/02;9.72;2020/03/27;1.62;COM
Pettenasco;Miasino,Pella,Omegna,Nonio,Armeno;2020/03/25;0;2020/04/09;5;2020/05/18;0;2020/11/03;5;2020/11/15;17;2020/11/27;11;2020/12/12;4;2021/01/16;6;2020/11/15;17;2020/11/05;4;2020/03/25;0.0;2020/04/09;3.64;2020/05/18;0.0;2020/11/03;3.64;2020/11/15;12.37;2020/11/27;8.01;2020/12/12;2.91;2021/01/16;4.37;2020/11/15;12.37;2020/11/05;2.91;COM
Pettinengo;Camandona,Scopello,Zumaglia,Biella,Andorno Micca,Pila,Bioglio,Callabiana,Piode,Ronco Biellese,Tavigliano,Valle San Nicolao,Piedicavallo,Veglio,Rassa,Valdilana,Ternengo;2020/03/25;2;2020/04/08;5;2020/05/18;0;2020/11/03;9;2020/11/14;14;2020/11/27;10;2020/12/12;7;2021/01/16;1;2020/11/14;14;2020/10/25;3;2020/03/25;1.32;2020/04/08;3.29;2020/05/18;0.0;2020/11/03;5.92;2020/11/14;9.21;2020/11/27;6.58;2020/12/12;4.61;2021/01/16;0.66;2020/11/14;9.21;2020/10/25;1.98;COM
Peveragno;Cuneo,Beinette,Boves,Limone Piemonte,Chiusa di Pesio;2020/03/25;6;2020/04/26;18;2020/05/18;5;2020/11/03;52;2020/11/13;137;2020/11/27;70;2020/12/12;31;2021/01/16;22;2020/11/13;137;2020/11/06;48;2020/03/25;1.07;2020/04/26;3.21;2020/05/18;0.89;2020/11/03;9.29;2020/11/13;24.46;2020/11/27;12.5;2020/12/12;5.54;2021/01/16;3.93;2020/11/13;24.46;2020/11/06;8.58;COM
Pezzana;Prarolo,Asigliano Vercellese,Stroppiana,Caresana;2020/03/25;4;2020/05/09;8;2020/05/18;4;2020/11/03;7;2020/12/04;12;2020/11/27;10;2020/12/12;6;2021/01/16;0;2020/12/04;12;2020/11/14;4;2020/03/25;3.1;2020/05/09;6.19;2020/05/18;3.1;2020/11/03;5.42;2020/12/04;9.29;2020/11/27;7.74;2020/12/12;4.64;2021/01/16;0.0;2020/12/04;9.29;2020/11/14;3.09;COM
Pezzolo Valle Uzzone;Castelletto Uzzone,Cortemilia,Bergolo,Levice,Serole;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2021/01/14;18;2020/11/27;2;2020/12/12;1;2021/01/16;18;2021/01/14;18;2021/01/10;7;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2021/01/14;52.48;2020/11/27;5.83;2020/12/12;2.92;2021/01/16;52.48;2021/01/14;52.48;2021/01/10;20.4;COM
Pianezza;Rivoli,Alpignano,Collegno,Venaria Reale,Druento,San Gillio;2020/03/25;22;2020/05/04;60;2020/05/18;54;2020/11/03;144;2020/11/17;371;2020/11/27;269;2020/12/12;78;2021/01/16;55;2020/11/17;371;2020/11/17;37;2020/03/25;1.43;2020/05/04;3.9;2020/05/18;3.51;2020/11/03;9.36;2020/11/17;24.1;2020/11/27;17.48;2020/12/12;5.07;2021/01/16;3.57;2020/11/17;24.1;2020/11/17;2.4;COM
Pianfei;Margarita,Chiusa di Pesio,MondovÃ¬,Roccaforte MondovÃ¬,Villanova MondovÃ¬;2020/03/25;1;2020/04/25;4;2020/05/18;3;2020/11/03;17;2020/11/16;47;2020/11/27;35;2020/12/12;27;2021/01/16;7;2020/11/16;47;2020/11/08;10;2020/03/25;0.47;2020/04/25;1.9;2020/05/18;1.42;2020/11/03;8.06;2020/11/16;22.3;2020/11/27;16.6;2020/12/12;12.81;2021/01/16;3.32;2020/11/16;22.3;2020/11/08;4.74;COM
Piasco;Costigliole Saluzzo,Rossana,Verzuolo,Pagno,Venasca;2020/03/25;3;2020/04/18;7;2020/05/18;0;2020/11/03;43;2020/12/02;55;2020/11/27;46;2020/12/12;39;2021/01/16;4;2020/12/02;55;2020/11/13;8;2020/03/25;1.1;2020/04/18;2.56;2020/05/18;0.0;2020/11/03;15.7;2020/12/02;20.09;2020/11/27;16.8;2020/12/12;14.24;2021/01/16;1.46;2020/12/02;20.09;2020/11/13;2.93;COM
Piatto;Quaregna Cerreto,Camandona,Bioglio,Callabiana,Valdengo,Vallanzengo,Valle San Nicolao,Veglio,Valdilana,Ternengo;2020/03/25;0;2020/04/06;2;2020/05/18;0;2020/11/03;3;2020/11/13;5;2020/11/27;2;2020/12/12;3;2021/01/16;1;2020/10/25;6;2020/10/16;4;2020/03/25;0.0;2020/04/06;3.97;2020/05/18;0.0;2020/11/03;5.95;2020/11/13;9.92;2020/11/27;3.97;2020/12/12;5.95;2021/01/16;1.98;2020/10/25;11.9;2020/10/16;7.94;COM
Piea;Cortanze,PiovÃ  Massaia,Montafia,Soglio,Cunico,Viale;2020/03/25;0;2020/04/24;3;2020/05/18;0;2020/11/03;1;2020/12/22;9;2020/11/27;2;2020/12/12;4;2021/01/16;1;2020/12/22;9;2020/04/24;2;2020/03/25;0.0;2020/04/24;5.18;2020/05/18;0.0;2020/11/03;1.73;2020/12/22;15.54;2020/11/27;3.45;2020/12/12;6.91;2021/01/16;1.73;2020/12/22;15.54;2020/11/11;3.46;COM
Piedicavallo;Pettinengo,Andorno Micca,Campiglia Cervo,Valdilana,Bioglio,Callabiana,Valle San Nicolao,Sagliano Micca,Tavigliano,Rosazza;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;2;2020/11/04;2;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/10/31;2;2020/10/26;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;11.24;2020/11/04;11.24;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/10/31;11.24;2020/10/26;5.62;COM
Piedimulera;Vogogna,Calasca-Castiglione,Pallanzeno,Pieve Vergonte;2020/03/25;0;2020/04/17;5;2020/05/18;1;2020/11/03;4;2020/11/25;20;2020/11/27;17;2020/12/12;8;2021/01/16;8;2020/11/25;20;2020/11/12;3;2020/03/25;0.0;2020/04/17;3.29;2020/05/18;0.66;2020/11/03;2.63;2020/11/25;13.15;2020/11/27;11.18;2020/12/12;5.26;2021/01/16;5.26;2020/11/25;13.15;2020/11/12;1.97;COM
Pietra Marazzi;Pecetto di Valenza,Montecastello,Alessandria;2020/03/25;4;2020/04/02;8;2020/05/18;0;2020/11/03;11;2020/11/14;18;2020/11/27;9;2020/12/12;2;2021/01/16;0;2020/11/14;18;2020/03/28;3;2020/03/25;4.44;2020/04/02;8.88;2020/05/18;0.0;2020/11/03;12.21;2020/11/14;19.98;2020/11/27;9.99;2020/12/12;2.22;2021/01/16;0.0;2020/11/14;19.98;2020/03/28;3.33;COM
Pietraporzio;Canosio,Sambuco,Vinadio,Argentera;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/15;2;2020/11/27;1;2020/12/12;0;2021/01/16;0;2020/11/15;2;2020/11/12;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/15;27.4;2020/11/27;13.7;2020/12/12;0.0;2021/01/16;0.0;2020/11/15;27.4;2020/11/12;13.7;COM
Pieve Vergonte;Anzola d'Ossola,Vogogna,Calasca-Castiglione,Piedimulera,Massiola,Valstrona,Premosello-Chiovenda;2020/03/25;1;2020/04/08;7;2020/05/18;0;2020/11/03;21;2020/11/18;55;2020/11/27;37;2020/12/12;12;2021/01/16;14;2020/11/18;55;2020/11/18;10;2020/03/25;0.4;2020/04/08;2.78;2020/05/18;0.0;2020/11/03;8.34;2020/11/18;21.84;2020/11/27;14.69;2020/12/12;4.77;2021/01/16;5.56;2020/11/18;21.84;2020/11/18;3.97;COM
Pila;Piode,Scopello,Pettinengo,Campertogno;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/12/30;2;2020/11/27;1;2020/12/12;0;2021/01/16;0;2020/12/30;2;2020/12/30;2;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/12/30;14.49;2020/11/27;7.25;2020/12/12;0.0;2021/01/16;0.0;2020/12/30;14.49;2020/12/30;14.49;COM
